文件名,说话人名称,说话人ID,日文原文,当前翻译,日文引号数,译文引号数,类别,说明
$3$SC6850,フィア,2,「ねえねえ、ユエラさんはこれからどうするの？」,呐呐，由艾拉小姐接下来打算做什么呢？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「なんだか久しぶりにそう呼ばれた気がするが、そうだな」,……总觉得好久没被人这么称呼了呢。唔，是啊。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「また猫が危険な場所へ潜り込んでしまわないよう、私が監視につこうと考えている」,我打算负责监视，免得猫再溜进危险的地方。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,フィア,2,「え、それじゃあずっと城砦に居てくれるの！？」,咦，那你会一直待在城砦里吗！？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「使徒の話では、獲得できるものがないといけないという話だったろう」,照使徒的说法，不是得能有所收获才行吗？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「城砦には、こんなにも危険な場所があると分かったからな。あくまで猫の為だが、友である神にも、少しはホクロの妖精たる私が力を貸してやる」,……因为知道了城砦里竟有如此危险的地方。说到底是为了猫，不过既然是朋友的神，就让痣之妖精的我多少帮你一把吧。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,フィア,2,「やったぁ！　すっごい嬉しいし、すっごい頼もしいよ。ありがとう！」,太好啦！超级开心，也超级可靠呢。谢谢你！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「これからよろしく頼む。後で、２人の猫獣人も紹介してくれ」,今后就拜托了。……之后，把那两位猫兽人也介绍给我吧。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,フィア,2,「えへへ、城砦に住む新しい家族が増えたよー！　やっぱり、ぶつかり合うことで人は分かり合えるんだねっ」,诶嘿嘿，城砦里又多了一位新家人啦！果然，人就是要互相碰撞，才能相互理解呢！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「そのようだ。わ、こら頬を舐めるな。いや、今のはうそだ。もっとしてくれてもいいぞ」,好像是呢。哇，喂喂，别舔脸颊。……不，刚才那是骗你的。再多来几下也行哦……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,フィア,2,「よーし、これで本当に一件落着だ！　早くアヴァロのところへ戻ろー！」,好嘞——这下真的圆满解决啦！快点回阿瓦罗那里去吧——！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,アヴァロ,1,「飛行結界その先には出撃門か。ここを突破するには出撃門を制圧するしかなさそうだ」,飞行结界……其前方是出击门吗。要突破这里，看来只能压制出击门了。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,アヴァロ,1,「でも、直接制圧しに行けないってことは部屋そのものを制圧するしかない訳だけど、そんな凄い芸当できる仲間っていたっけ」,不过，既然不能直接去压制，那就只能压制房间本身了。可咱们有能干出这种绝活的同伴来着吗……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「んっふっふ。アヴァロってば、始める前からこんなに大きくしてたんだ？」,嗯哼哼。阿瓦罗呀，还没开始，就已经胀得这么大了？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「フィアに触れたいと思っているって言っただろう。その時から期待と夢で大きく膨れ上がってってなにを言わすんだ」,我不是说过想碰菲亚吗。从那时候起，就满怀期待与梦想胀得大大的……——我都在让你说些什么啊,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「いーんだよ。私の目的はいちゃいちゃすることだから、つんつんだけにこだわってはいないんだ」,没关系啦。我的目的是亲热，又不是非执着于戳戳不可,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「せっかくあの時とは違って恋人同士なんだし、今日はもっと密着して、つんつんより先に進もうよ」,好不容易和那时不同了，我们现在可是恋人，今天就贴得更紧一些，往比戳戳更进一步的地方去吧,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「ん、ぐっ」,唔、咕……！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「し、舌で？　わ、分かった」,舌、舌头……？我、我知道了,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「んっ、アヴァロに舐められたところ、すーすーするね」,唔……！被阿瓦罗舔过的地方，凉丝丝的呢,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「唾がついちゃうんだから、仕方ないだろ？」,会沾上口水，这也是没办法的吧……？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「やっぱり、ホクロって敏感なものなのか？」,……果然，痣是这么敏感的东西吗？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「う、うぅん、ホクロ自体に感覚は、ないんだけどぉ。でも、アヴァロに舐められてるんだって意識したら、なんかんっ、あ、もうっ」,唔、唔嗯，痣本身倒是没什么感觉啦……。可是，一想到正被阿瓦罗舔着，就总觉得……唔、啊，不行了……！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「は、ぁ、んんふぁ、うぅ、んぺろぺろされるの、気持ちいいよぉ」,哈、啊、嗯嗯……呼啊、呜呜、唔……被这样舔舔的，好舒服哦……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「あ、ごめん。こっち、止まってたね？　ちゃんといっぱい、気持ちよくしてあげるからね？」,……啊，抱歉。这边，刚才停住了对吧？我会好好让你舒服个够的哦……？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「んふふ、手の中でビクって反応してて、かわいー。たくさん、こすってあげるね」,嗯呼呼，它在手心里一颤一颤地回应，好可爱——。我会好好多蹭蹭它的哦,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「っ」,唔……！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「あ、困り眉になった。えへへー、気持ちいいんだね～。アヴァロはいっぱい舐めてていいんだよ。私に任せてね」,啊，你皱起困扰的眉头了。诶嘿嘿——，很舒服吧～。阿瓦罗可以多舔一会儿哦。这边就交给我吧,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「ここが気持ちいいんだね。指で、押してみたりこうやって、ぎゅう～って挟んでみたりへへ、でもやっぱり、こするのが一番反応しちゃうのかな？」,原来这里很舒服啊。用指头按一按……像这样，用力～夹一夹……嘿嘿，不过说到底，还是搓一搓反应最大吧？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「ぁっ、ん、もうは、ぅ胸を舐めるだけじゃ、足りなくなったの？」,啊、唔，真是的……哈、呜……光舔胸，已经不够了吗……？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「は、反抗期か～。このー、いっぱい声を出させてやる～。えいえい」,哈，你这是到了叛逆期吗～。看我的——，非让你叫出声来不可～。嘿呀嘿呀,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「っ、やったな」,唔、你干的好事……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「あ、んっ。そ、こは本当に敏感、だからぁふ、ぁ」,啊、嗯！那、那里……真的特别敏感，所以啊……呼、啊,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「はぁ、んっ、あぁ、ぅそ、そんなに吸ってもなにも、で、出ないよ？」,……哈啊、唔、啊、呜……就、就算吸得那么用力……也什么都、出、出不来哦……？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「もう、赤ちゃんみたい。よしよし、いつか、たくさん飲ませてあげるからね。ん、ふぁ、ぅ」,真是的，像个小宝宝……。好好好，总有一天会让你喝个够的哦……。唔、呼啊、呜……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「あの、これ。すっげー、恥ずかしいんだけど」,……那个，这个。超、超难为情的啊,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「そう？　私はんっ、甘えてくれて、嬉しいけど」,是吗？我倒是……唔、你愿意撒娇，我很高兴哦……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「本当の赤ちゃんにこんなことしないでくれよ？」,可别对真正的小宝宝做这种事啊……？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「分かってるって～。こういうことするのはアヴァロだけ、だもんあ、もうまた、舌が動いて」,我知道啦～。会做这种事的人只有阿瓦罗而已嘛……啊，真是的……舌头又动起来了……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「あ、またホクロに戻った。やっぱり、気になる？」,……啊，又回到痣上了。果然，你很在意它吗？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「フィアが今日、して欲しいのはこっちなんだろ？」,菲亚今天想要的，是这个吧……？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「はぁん、気持ちいい、ねこうやって、ゆっくり愛し合うの、好きかも」,哈啊……唔，好舒服、呢……像这样，慢慢缠绵相爱的感觉，我好像很喜欢……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「どう、したの？　もっと、早く動かした方がいい？」,怎、么了？要再动快一点比较好……？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「ああ、そうして、欲しいごめん、フィア、もう」,啊啊，想、要你那样……抱歉，菲亚，已经……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「ん、わかった。たーくさん、出していいからね？」,……唔，知道了。想射多少，就射多少出来哦？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「イキたくなったら、我慢しないで、私の手でいっぱい気持ちよくなって」,想射的时候，不要忍着，用我的手好好舒服个够吧……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「ほら、たくさん白いの、出しちゃおうねっ。私の手の中で、たくさん！」,来吧，把好多好多……白色的东西，都射出来吧……！在我的手里，射好多好多……！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「っ、く、ぁ」,……！唔、啊……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「えへへ、わ、いっぱいでたね。手がぬるぬるでぐちょぐちょだ」,诶嘿嘿……，哇，射了好多呢。手黏糊糊、湿乎乎的,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「ちょっと、待っててね。出したあとも、大事だって知ってるから」,稍微等一下哦。我知道射出来之后也很重要的……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「気持ちよかった？　えへへ、幸せそうな顔をしてる」,舒服吗？诶嘿嘿，你一脸幸福的样子呢,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「ああ。気持ちよかった。でも、まさかこれで終わるとは思ってないよな？」,……啊啊。很舒服。不过，你该不会以为这就结束了吧？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「んーうん。もちろんだよ、アヴァロをもっと、感じたいもん」,嗯——……嗯。当然啦，我还想更多地感受阿瓦罗呢,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「一回気持ちよくしてもらったけど、早くいれたくて、我慢できないんだいいか？」,虽然已经让你帮我舒服过一次了，可我好想快点进去，已经忍不住了……可以吗？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「うん、大丈夫だよ。えへへ、私がアヴァロを拒むわけないでしょ？」,嗯，没问题哦。诶嘿嘿，我怎么可能会拒绝阿瓦罗嘛……？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「んっ、あぁ、あつくて、かたくて、おっきっ」,……唔、啊，好烫、好硬、好大……！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「悪い、準備してないのに。痛くないか」,抱歉，明明还没做好准备……。疼吗,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「んへーき。アヴァロの身体、触ってたら濡れてきちゃってたから」,唔……没、没事。因为刚才摸着阿瓦罗的身体……就已经湿起来了,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「ありがとう。すごく嬉しい」,……谢谢你。我很高兴,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「あ、んんっ、ふ、ぅはぁ、ん、ゃ、はぁぁ、んっ」,啊、嗯嗯！呼、呜……哈啊、唔、呀、哈啊——、唔！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「フィアの声、色っぽくて可愛い」,……菲亚的声音，好妩媚……好可爱,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「なんか、不満そう？」,怎么，好像不太满意……？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「う、ううん、大丈夫っ、ぁ、はぁ、んぅぅちょっと、顔が見たくなっただけ」,唔、没有，没事……！啊、哈啊、嗯呜……只是，忽然有点想看你的脸了,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「」,…………,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「あっ、んん、また、ホクロの場所をもう、イジわるぅかお、隠すようにしてふぁ、あ、ぁぁんっ、ん、は、ぁぁ」,……啊、嗯嗯，又、又来弄痣的地方……真是的，太坏心眼了……我、把脸埋起来……呼啊、啊、啊嗯！唔、哈、啊——,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「今日は、ホクロをイジるって決めたから」,因为今天，我已经决定要好好疼爱这颗痣了,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「んぁ、はぁ、ぅ、んえへへ、顔が見られるの、恥ずかしいだけのくせにぃ」,嗯啊、哈啊、呜、唔……诶嘿嘿，明明只是被看到脸就会害羞而已嘛,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「は、ふぅ、んんっ、奥まで、届いてる、よ。さきっぽが、つんつんって、<ruby>突<rt>つつ</rt></ruby>いてる」,哈、呼、唔唔……！最里面，已经，顶到了哦……。前端，正戳戳地，顶着……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「突いているって、子宮口？」,……你说顶着的，是子宫口……？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「んっ、そう、だよそこが、赤ちゃんの、へやぁぁ、は、あぁんっ」,唔、是、的……那里就是、小宝宝、的房间啊……啊、哈、啊嗯！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「フィアは、奥を突かれるのが、好きなのか？」,菲亚，喜欢被顶到最里面吗……？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「おくって、いうかぁ私は、アヴァロに抱かれてるだけで、気持ちいい、からぁ」,倒也不是、因为顶到最里面啦……光是阿瓦罗要我，就已经很舒服、了嘛,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「っ、あんまり嬉しいこと、言ってくれるなよっ」,唔、别老说、这么让人高兴的话啊……！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「うれ、しかったの？　えへへ、わたしアヴァロのこと、だいすき、だからんっ、ゃ、ぁぁ」,你、很高兴吗……？诶嘿嘿，我……因为、最喜欢阿瓦罗了、所以……唔、呀、啊——,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「ん、うぅ、ぁっ、はぁ、ぁこうやって、ふれてるだけで、すごく、幸せになってっ」,唔、呜呜、啊！哈啊、啊……只是、这样贴着，就变得、好幸福……！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「俺も、好きだよフィアのこと。大好きだ」,我也、喜欢你哦……菲亚。最喜欢了,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「えへへ、うれしーな。もっと、もっと言って？」,诶嘿嘿，好开心呀。再多、多说一点……？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,アヴァロ,1,「フィアのホクロも、すごく好きだぞ」,……菲亚的痣，我也超喜欢的,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SP2341,フィア,2,「もう、そうやってまた顔をんっ、ひぁ、ぁ、ぁぁ」,真是的，又这样……又把脸……唔！呼啊、啊、啊——,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
